2022-03-08T14-40-56,04609,MOUNT DESERT ISLAND HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-04-05T05-48-33,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,24,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-13T11-55-39,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-14T09-18-06,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-15T06-03-51,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-16T05-33-42,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-17T05-32-24,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-18T05-31-10,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/07/2022 12:00:00 AM
2022-04-19T05-39-24,04609,MOUNT DESERT ISLAND HOSPITAL,NLP,NLP,NLP,22,04/18/2022 12:00:00 AM
