2022-03-08T14-40-56,91011,LA CANADA MEDICAL GROUP,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-06-09T04-15-20,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-10T04-15-36,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-11T04-15-14,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-12T04-15-15,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-13T04-15-40,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-14T04-15-16,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-15T04-15-27,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-16T04-15-45,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-17T04-15-27,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-18T04-15-18,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-19T04-15-29,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-20T04-15-58,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-21T04-15-35,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-22T04-15-20,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-23T04-15-16,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-24T04-15-26,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-25T04-15-18,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-26T04-15-17,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-27T04-15-31,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-28T04-15-44,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-29T04-15-40,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-06-30T04-15-32,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-01T04-15-22,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-03T14-40-38,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-04T04-15-29,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-05T04-15-18,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-06T04-15-19,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-07T04-15-17,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-07T13-15-18,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-08T04-15-19,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
2022-07-09T04-15-19,91011,LA CANADA MEDICAL GROUP,NLP,NLP,NLP,,
