2022-03-08T14-40-56,34950,Whole Family Health Ctr -Ft. Pierce,03/04/2022 12:00:00 AM,,72,,
2022-04-23T05-25-10,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-28T09-22-45,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-29T05-13-54,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-30T05-15-55,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-01T05-13-51,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-02T06-02-50,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-03T06-05-23,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-04T05-12-02,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-05T09-49-47,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-06T06-12-41,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-07T05-45-31,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-08T10-02-59,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-09T05-08-14,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-10T06-06-54,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-11T06-51-12,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-12T07-16-49,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-13T06-07-31,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-14T08-49-14,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-15T05-54-13,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-16T05-54-24,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-17T05-27-38,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-18T05-40-23,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-19T05-25-31,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-20T05-59-40,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-21T05-54-21,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-05-22T09-07-10,34950,Whole Family Health Ctr -Ft. Pierce,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
