2022-02-18T16-04-21,73077,Foster Corner Drug,02/14/2022 12:00:00 AM,,48,0,02/07/2022 12:00:00 AM
2022-04-05T05-48-33,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-06T05-45-18,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-07T05-34-07,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-08T05-48-29,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-09T05-41-09,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-10T09-31-27,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-11T07-06-23,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-12T07-06-55,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-13T09-20-57,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-13T11-55-39,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-14T09-18-06,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-04-15T06-03-51,73077,Foster Corner Drug,NLP,NLP,NLP,0,02/07/2022 12:00:00 AM
2022-07-06T04-15-19,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/05/2022 12:00:00 AM
2022-07-09T04-15-19,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/05/2022 12:00:00 AM
2022-07-10T04-15-26,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/05/2022 12:00:00 AM
2022-07-11T04-15-25,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/05/2022 12:00:00 AM
2022-07-12T04-15-22,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/11/2022 12:00:00 AM
2022-07-17T04-15-18,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/11/2022 12:00:00 AM
2022-07-18T04-15-21,73077,FOSTER CORNER DRUG,NLP,NLP,NLP,48,07/11/2022 12:00:00 AM
