2022-01-11T08-35-31,95476,SONOMA VALLEY HOSPITAL,01/05/2022 12:00:00 AM,,48,,
2022-01-12T08-07-48,95476,SONOMA VALLEY HOSPITAL,01/07/2022 12:00:00 AM,,96,,
2022-01-13T10-07-11,95476,SONOMA VALLEY HOSPITAL,01/07/2022 12:00:00 AM,,96,,
2022-01-14T15-37-26,95476,SONOMA VALLEY HOSPITAL,01/07/2022 12:00:00 AM,01/13/2022 12:00:00 AM,96,,
2022-01-19T08-05-28,95476,SONOMA VALLEY HOSPITAL,01/14/2022 12:00:00 AM,,192,,
2022-01-21T18-08-01,95476,SONOMA VALLEY HOSPITAL,01/14/2022 12:00:00 AM,,192,,
2022-01-24T09-15-30,95476,SONOMA VALLEY HOSPITAL,01/14/2022 12:00:00 AM,,192,,
2022-01-25T09-23-26,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/21/2022 12:00:00 AM,432,,
2022-01-26T07-35-52,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/21/2022 12:00:00 AM,432,,
2022-01-27T14-49-32,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,480,,
2022-01-28T09-28-02,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,480,,
2022-01-28T13-55-27,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,480,,
2022-01-28T14-38-48,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,480,,
2022-01-28T15-43-02,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,480,,
2022-01-28T17-11-19,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,480,,
2022-02-01T09-23-15,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,480,,
2022-02-02T09-09-05,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-04T09-14-55,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-07T09-54-34,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-09T09-41-46,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-16T18-37-01,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-18T15-54-16,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-18T16-04-21,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-22T09-09-37,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-02-24T09-51-18,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-03-03T09-56-49,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-03-03T10-04-44,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-03-08T14-40-56,95476,SONOMA VALLEY HOSPITAL,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,,
2022-06-09T04-15-20,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,,
2022-06-10T04-15-36,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,,
2022-06-11T04-15-14,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-16T04-15-45,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-17T04-15-27,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-18T04-15-18,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-19T04-15-29,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-20T04-15-58,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,33,06/10/2022 12:00:00 AM
2022-06-21T04-15-35,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,16,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,16,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,16,06/20/2022 12:00:00 AM
2022-06-24T04-15-26,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,16,06/20/2022 12:00:00 AM
