2022-03-08T14-40-56,39428,Covington County Hospital Pharmacy,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,24,12,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/08/2022 12:00:00 AM
2022-03-18T09-58-11,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-26T06-57-27,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,39428,Covington County Hospital Pharmacy,NLP,NLP,NLP,12,04/05/2022 12:00:00 AM
