2022-03-03T10-04-44,28803,LIFEWAY HEALTH,02/28/2022 12:00:00 AM,,24,,
2022-03-08T14-40-56,28803,LIFEWAY HEALTH,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,48,,
2022-06-15T04-15-27,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/14/2022 12:00:00 AM
2022-06-18T04-15-18,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/14/2022 12:00:00 AM
2022-06-19T04-15-29,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/14/2022 12:00:00 AM
2022-06-20T04-15-58,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/14/2022 12:00:00 AM
2022-06-21T04-15-35,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/20/2022 12:00:00 AM
2022-06-24T04-15-26,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,28803,LIFEWAY HEALTH,NLP,NLP,NLP,32,06/23/2022 12:00:00 AM
2022-06-28T04-15-44,28803,LIFEWAY HEALTH,NLP,NLP,NLP,28,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,28803,LIFEWAY HEALTH,NLP,NLP,NLP,28,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,28803,LIFEWAY HEALTH,NLP,NLP,NLP,28,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,28803,LIFEWAY HEALTH,NLP,NLP,NLP,28,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,28803,LIFEWAY HEALTH,NLP,NLP,NLP,28,06/30/2022 12:00:00 AM
