2022-03-08T14-40-56,34613,Pine Brook Pharmacy -11373,03/04/2022 12:00:00 AM,,192,,
2022-03-16T18-51-35,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,240,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,34613,Pine Brook Pharmacy -14111,NLP,NLP,NLP,286,03/16/2022 12:00:00 AM
