2022-03-08T14-40-56,36532,THOMAS HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,12,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-28T06-21-17,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-29T08-50-48,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
2022-03-30T09-27-07,36532,THOMAS HOSPITAL,NLP,NLP,NLP,12,03/15/2022 12:00:00 AM
