2022-02-18T16-04-21,73644,GRT PLAINS REGIONAL MED CTR,02/14/2022 12:00:00 AM,,48,0,01/26/2022 12:00:00 AM
2022-03-18T11-17-38,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,73644,GRT PLAINS REGIONAL MED CTR,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
