2022-03-08T14-40-56,73448,MERCY HEALTH LOVE COUNTY - RHC,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,48,35,03/03/2022 12:00:00 AM
2022-03-16T18-51-35,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
