2022-03-08T14-40-56,87144,UNM-SANDOVAL REGIONAL MED CTR,03/07/2022 12:00:00 AM,,48,,
2022-03-16T18-51-35,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,03/29/2022 12:00:00 AM
2022-04-06T05-45-18,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,87144,UNM-SANDOVAL REGIONAL MED CTR,NLP,NLP,NLP,48,04/11/2022 12:00:00 AM
