2022-03-08T14-40-56,19061,WELLNESS FAMILY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-29T08-50-48,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-06T05-45-18,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-07T05-34-07,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-08T05-48-29,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-09T05-41-09,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-10T09-31-27,19061,WELLNESS FAMILY PHARMACY,NLP,NLP,NLP,24,04/09/2022 12:00:00 AM
