2022-02-16T08-23-53,41240,Paintsville ARH,,,0,2,02/15/2022 12:00:00 AM
2022-03-18T09-58-11,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,41240,ARH PAINTSVILLE ARH HOSPITAL,NLP,NLP,NLP,1,03/24/2022 12:00:00 AM
