2022-03-08T14-40-56,97206,GOLDEN DAWN CLINIC PHARMACY,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,22,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,14,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-04-02T06-05-59,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,6,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,6,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,6,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,6,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,6,04/08/2022 12:00:00 AM
2022-04-13T11-55-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,6,04/08/2022 12:00:00 AM
2022-04-14T09-18-06,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,14,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-21T05-29-54,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,11,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,11,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,11,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,04/23/2022 12:00:00 AM
2022-04-26T05-20-54,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,9,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,18,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
