2022-03-08T14-40-56,39654,LAWRENCE COUNTY HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,24,24,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,39654,LAWRENCE COUNTY HOSPITAL,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
