2022-02-18T16-04-21,28801,The Family Health Centers PA,02/17/2022 12:00:00 AM,,24,,
2022-02-22T09-09-37,28801,The Family Health Centers PA,02/21/2022 12:00:00 AM,,48,,
2022-02-24T09-51-18,28801,The Family Health Centers PA,02/21/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,28801,The Family Health Centers PA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,28801,The Family Health Centers PA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,28801,The Family Health Centers PA,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,72,,
2022-03-18T09-58-11,28801,The Family Health Centers PA,NLP,NLP,NLP,56,03/13/2022 12:00:00 AM
2022-03-18T11-03-37,28801,The Family Health Centers PA,NLP,NLP,NLP,56,03/13/2022 12:00:00 AM
2022-03-18T11-17-38,28801,The Family Health Centers PA,NLP,NLP,NLP,56,03/13/2022 12:00:00 AM
2022-03-18T15-22-50,28801,The Family Health Centers PA,NLP,NLP,NLP,56,03/13/2022 12:00:00 AM
2022-03-19T08-15-59,28801,The Family Health Centers PA,NLP,NLP,NLP,56,03/13/2022 12:00:00 AM
2022-03-19T11-58-02,28801,The Family Health Centers PA,NLP,NLP,NLP,56,03/13/2022 12:00:00 AM
2022-03-20T06-05-37,28801,The Family Health Centers PA,NLP,NLP,NLP,56,03/13/2022 12:00:00 AM
2022-03-29T08-50-48,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,28801,The Family Health Centers PA,NLP,NLP,NLP,41,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-13T11-55-39,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-14T09-18-06,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-15T06-03-51,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-16T05-33-42,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-17T05-32-24,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-18T05-31-10,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-19T05-39-24,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-20T05-27-37,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-21T05-29-54,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-22T05-26-18,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-23T05-25-10,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-24T05-22-24,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-25T05-22-33,28801,The Family Health Centers PA,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-26T05-20-54,28801,The Family Health Centers PA,NLP,NLP,NLP,75,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,28801,The Family Health Centers PA,NLP,NLP,NLP,75,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,28801,The Family Health Centers PA,NLP,NLP,NLP,75,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,28801,The Family Health Centers PA,NLP,NLP,NLP,73,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-07T05-45-31,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-08T10-02-59,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-09T05-08-14,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-10T06-06-54,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-11T06-51-12,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-12T07-16-49,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-13T06-07-31,28801,The Family Health Centers PA,NLP,NLP,NLP,61,04/29/2022 12:00:00 AM
2022-05-14T08-49-14,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-19T05-25-31,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-20T05-59-40,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-21T05-54-21,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-22T09-07-10,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
