2022-01-26T07-35-52,18960,GRAND VIEW HOSPITAL,01/19/2022 12:00:00 AM,,24,,
2022-01-27T14-49-32,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,,48,,
2022-01-28T09-28-02,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,,48,,
2022-01-28T13-55-27,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,,48,,
2022-01-28T14-38-48,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,,48,,
2022-01-28T15-43-02,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,,48,,
2022-01-28T17-11-19,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,,72,,
2022-02-01T09-23-15,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,96,,
2022-02-02T09-09-05,18960,GRAND VIEW HOSPITAL,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,48,,
2022-02-04T09-14-55,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,01/28/2022 12:00:00 AM,96,,
2022-02-07T09-54-34,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,01/28/2022 12:00:00 AM,96,,
2022-02-09T09-41-46,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-02-16T18-37-01,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-02-18T15-54-16,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-02-18T16-04-21,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-02-22T09-09-37,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-02-24T09-51-18,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-03-03T09-56-49,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,18960,GRAND VIEW HOSPITAL,02/02/2022 12:00:00 AM,02/03/2022 12:00:00 AM,96,,
2022-04-07T05-34-07,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,34,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,34,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/15/2022 12:00:00 AM
2022-04-21T05-29-54,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,33,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,29,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,29,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,29,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,28,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,28,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,26,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,24,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,24,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,24,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,18960,GRAND VIEW HOSPITAL,NLP,NLP,NLP,24,05/10/2022 12:00:00 AM
