2022-03-26T06-57-27,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,24,04/11/2022 12:00:00 AM
