2022-03-08T14-40-56,08844,ID CARE,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,48,24,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,08844,ID CARE,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-03-18T11-17-38,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,08844,ID CARE,NLP,NLP,NLP,21,03/17/2022 12:00:00 AM
