2022-03-08T14-40-56,21044,Maryland Oncology Hematology Columb,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,48,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,46,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,34,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,34,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,34,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,28,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,14,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,21044,Maryland Oncology Hematology Columb,NLP,NLP,NLP,12,03/29/2022 12:00:00 AM
