2022-01-14T15-37-26,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/11/2022 12:00:00 AM,,48,,
2022-01-19T08-05-28,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,,72,,
2022-01-21T18-08-01,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,72,,
2022-01-24T09-15-30,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,72,,
2022-01-25T09-23-26,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-01-26T07-35-52,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-01-27T14-49-32,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-01-28T09-28-02,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-01-28T13-55-27,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-01-28T14-38-48,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-01-28T15-43-02,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-01-28T17-11-19,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-02-01T09-23-15,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,,
2022-02-02T09-09-05,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-04T09-14-55,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-07T09-54-34,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-09T09-41-46,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-16T18-37-01,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-18T15-54-16,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-18T16-04-21,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-22T09-09-37,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-02-24T09-51-18,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-03-03T09-56-49,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,72,,
2022-07-13T04-15-22,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,50,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,50,07/12/2022 12:00:00 AM
2022-07-15T04-15-46,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,50,07/12/2022 12:00:00 AM
2022-07-17T04-15-18,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,50,07/12/2022 12:00:00 AM
2022-07-18T04-15-21,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,50,07/12/2022 12:00:00 AM
2022-07-18T07-55-19,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,50,07/12/2022 12:00:00 AM
2022-07-19T04-15-25,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,,07/18/2022 12:00:00 AM
2022-07-22T04-15-29,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,,07/18/2022 12:00:00 AM
2022-07-23T04-15-20,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,,07/22/2022 12:00:00 AM
2022-07-24T04-15-21,95023,HAZEL HAWKINS MEMORIAL HOSPITAL,NLP,NLP,NLP,,07/22/2022 12:00:00 AM
