2022-02-18T16-04-21,74462,HASKELL REGIONAL HOSPITAL,02/14/2022 12:00:00 AM,02/09/2022 12:00:00 AM,96,0,01/22/2022 12:00:00 AM
2022-03-03T09-56-49,74462,Heads Pharmacy,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,74462,Heads Pharmacy,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,74462,Heads Pharmacy,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-04-05T05-48-33,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-10T09-31-27,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-10T09-31-27,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-11T07-06-23,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-11T07-06-23,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-12T07-06-55,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-12T07-06-55,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-13T09-20-57,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-13T09-20-57,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-13T11-55-39,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-13T11-55-39,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-14T09-18-06,74462,HASKELL REGIONAL HOSPITAL,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
2022-04-14T09-18-06,74462,Heads Pharmacy,NLP,NLP,NLP,,03/31/2022 12:00:00 AM
